country,gdp
Cyprus,18490.2
Latvia,25037.7
Lithuania,38849.4
Luxembourg,53303
Hungary,113903.8
Malta,10344.1
Netherlands,708337
Austria,356237.6
Poland,426547.5
Portugal,186480.5
Romania,170393.6
Slovenia,40357.2
Slovakia,81226.1
Finland,216073
Sweden,463147.5
United Kingdom,2403382.6
Iceland,18646.1
Norway,335747.5
Switzerland,605753.7
Turkey,780224.9
Belgium,424660.3
Bulgaria,48128.6
Czechia,176370.1
Denmark,282089.9
Germany,3159750
Estonia,21682.6
Ireland,273238.2
Greece,176487.9
Spain,1118743
France,2228568
Croatia,46639.5
Italy,1689824
